Date,Latitude,Longitude,radius
00:37.2,-0.208605306,0.434806102,1878.782682
00:37.3,-0.214572469,0.205944235,1878.474015
00:37.3,-0.208597379,-0.024931302,1878.175158
00:37.4,-0.214623664,-0.250975949,1877.886109
00:37.5,-0.226723137,-0.479237539,1877.610473
00:37.6,-0.220695124,-0.713015997,1877.333226
00:37.6,-0.245026524,-0.944403786,1877.076723
00:37.7,-0.245042094,-1.183163534,1876.821973
00:37.8,-0.238957177,-1.439627978,1876.587355
00:37.2,-0.560394624,0.540275967,1878.782682
00:37.3,-0.560380202,0.317815721,1878.474015
00:37.3,-0.567491246,0.104216715,1878.175158
00:37.4,-0.574554581,-0.10647952,1877.886109
00:37.5,-0.581661707,-0.331870869,1877.610473
00:37.6,-0.588831464,-0.537460765,1877.333226
00:37.6,-0.581873135,-0.756466209,1877.076723
00:37.7,-0.589025919,-0.969360929,1876.821973
